"date","carrier_name","delayed_flight_share","carrier_share_min"
2016-01-01,"American Airlines Inc.",0.164646731939667,0.420224942053409
2016-01-01,"Delta Air Lines Inc.",0.132461161079313,0.388620659747319
2016-01-01,"Southwest Airlines Co.",0.135405265280258,0.329728336858027
2016-01-01,"United Air Lines Inc.",0.140112170217047,0.360395779902075
2016-02-01,"American Airlines Inc.",0.153961366181411,0.336870651684843
2016-02-01,"Delta Air Lines Inc.",0.128668604565375,0.360002740408154
2016-02-01,"Southwest Airlines Co.",0.105363846747236,0.313523965987183
2016-02-01,"United Air Lines Inc.",0.127285332785538,0.279016501349916
2016-03-01,"American Airlines Inc.",0.18582135770169,0.335328345999546
2016-03-01,"Delta Air Lines Inc.",0.118910625239739,0.416224091238168
2016-03-01,"Southwest Airlines Co.",0.175432800907119,0.268957806675233
2016-03-01,"United Air Lines Inc.",0.176248587570621,0.296834283122744
2016-04-01,"American Airlines Inc.",0.153795802775885,0.341794891476347
2016-04-01,"Delta Air Lines Inc.",0.0952132311668646,0.477598877634941
2016-04-01,"Southwest Airlines Co.",0.176672384219554,0.270131255118208
2016-04-01,"United Air Lines Inc.",0.132113398488944,0.301847423574922
2016-05-01,"American Airlines Inc.",0.183532880856148,0.331475716236915
2016-05-01,"Delta Air Lines Inc.",0.111785590148468,0.471701746244775
2016-05-01,"Southwest Airlines Co.",0.178448205230912,0.254884609678414
2016-05-01,"United Air Lines Inc.",0.15359149714684,0.292592186876714
2016-06-01,"American Airlines Inc.",0.26195259140217,0.32638164829779
2016-06-01,"Delta Air Lines Inc.",0.162653188905382,0.350553314016988
2016-06-01,"Southwest Airlines Co.",0.239014658995779,0.278978443450562
2016-06-01,"United Air Lines Inc.",0.195006892986386,0.288705289986672
2016-07-01,"American Airlines Inc.",0.271688826856681,0.309807549018774
2016-07-01,"Delta Air Lines Inc.",0.177205205731563,0.331731304804494
2016-07-01,"Southwest Airlines Co.",0.257890077077981,0.301641524104502
2016-07-01,"United Air Lines Inc.",0.217964994068555,0.265676894341353
2016-08-01,"American Airlines Inc.",0.258670754352513,0.324910514685007
2016-08-01,"Delta Air Lines Inc.",0.177430801987225,0.481537326247224
2016-08-01,"Southwest Airlines Co.",0.191893477770255,0.269857875998394
2016-08-01,"United Air Lines Inc.",0.214900116564171,0.266159859721919
2016-09-01,"American Airlines Inc.",0.16536248085124,0.345403161183007
2016-09-01,"Delta Air Lines Inc.",0.0962967870155681,0.437665560020968
2016-09-01,"Southwest Airlines Co.",0.139590519104945,0.285056418900483
2016-09-01,"United Air Lines Inc.",0.15048471290082,0.318592428438709
2016-10-01,"American Airlines Inc.",0.141051735376675,0.381880131513693
2016-10-01,"Delta Air Lines Inc.",0.0713715855990477,0.50765256130541
2016-10-01,"Southwest Airlines Co.",0.141949426476292,0.272770960030584
2016-10-01,"United Air Lines Inc.",0.158134972272827,0.304993201314744
2016-11-01,"American Airlines Inc.",0.142121165708239,0.344398796647749
2016-11-01,"Delta Air Lines Inc.",0.0852462113544661,0.460549424774458
2016-11-01,"Southwest Airlines Co.",0.135834798548502,0.282524791365432
2016-11-01,"United Air Lines Inc.",0.135172084544942,0.303182476354786
2016-12-01,"American Airlines Inc.",0.199886181946289,0.343704303306568
2016-12-01,"Delta Air Lines Inc.",0.182609059934089,0.387742409221048
2016-12-01,"Southwest Airlines Co.",0.23219861740339,0.272336892309696
2016-12-01,"United Air Lines Inc.",0.226037884421891,0.281265888748829
